"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"11084","Male","Married",32,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"11085","Male","Single",29,"Policy Holder","Sport","20000 to 29000",1,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11087","Male","Married",42,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","3 to 4","1995","All Perils","Japan"
"11088","Male","Married",61,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","Collision","Japan"
"11089","Male","Married",52,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"11091","Female","Married",27,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","Japan"
"11092","Male","Single",52,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1996","All Perils","Japan"
"11093","Male","Single",43,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11094","Male","Married",46,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","Liability","Japan"
"11095","Female","Married",54,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1995","Collision","Japan"
"11097","Male","Married",65,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"11098","Male","Married",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"11099","Male","Single",19,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","2 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"11101","Male","Single",28,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"11102","Male","Married",59,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"11103","Male","Married",80,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","2 vehicles","1994","All Perils","Japan"
"11104","Male","Married",64,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"11105","Male","Single",46,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","External","3 to 5","1 vehicle","1995","All Perils","Japan"
"11106","Female","Single",53,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"11107","Male","Married",28,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"11108","Male","Married",47,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","2 vehicles","1996","Liability","Japan"
"11109","Male","Married",32,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"11112","Male","Married",48,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"11113","Male","Married",63,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"11114","Female","Single",34,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","Internal","none","1 vehicle","1994","Collision","Japan"
"11117","Male","Married",57,"Policy Holder","Sedan","less than 20000",1,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"11118","Male","Married",37,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"11119","Male","Single",26,"Policy Holder","Sedan","20000 to 29000",1,"400","8 to 15","more than 30","none","4 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"11120","Male","Married",50,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Collision","Japan"
"11121","Female","Married",34,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1995","Collision","Japan"
"11122","Female","Married",36,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"11123","Male","Married",55,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"11124","Male","Single",31,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"11126","Male","Married",50,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Liability","Japan"
"11127","Male","Married",35,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","Internal","none","1 vehicle","1995","Collision","Japan"
"11128","Female","Married",35,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","4 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11130","Male","Married",35,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"11132","Male","Single",24,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"11133","Male","Married",55,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"11134","Male","Married",46,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11135","Male","Married",43,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"11136","Male","Married",41,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1996","All Perils","Japan"
"11137","Male","Married",55,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","3 to 5","1 vehicle","1995","Liability","Japan"
"11138","Female","Married",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"11139","Male","Married",50,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"11141","Female","Married",33,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"11142","Male","Single",45,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"11143","Male","Married",57,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1995","Liability","Japan"
"11144","Female","Single",29,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"11145","Male","Married",56,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","Liability","Japan"
"11147","Male","Married",31,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11149","Male","Married",77,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","Collision","Japan"
"11150","Male","Married",32,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1995","Collision","Japan"
"11152","Male","Married",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","3 to 5","3 to 4","1994","Collision","Japan"
"11153","Male","Married",59,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"11154","Male","Single",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"11156","Male","Married",40,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"11157","Male","Married",62,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","3 to 5","1 vehicle","1995","Liability","Japan"
"11158","Male","Married",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","3 to 5","2 vehicles","1995","Collision","Japan"
"11159","Male","Married",58,"Third Party","Sedan","30000 to 39000",0,"500","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","Collision","Japan"
"11160","Male","Single",44,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"11161","Male","Married",59,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"11163","Male","Married",35,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"11165","Male","Married",36,"Policy Holder","Sport","30000 to 39000",0,"700","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11167","Male","Single",27,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1996","Liability","Japan"
"11168","Male","Married",30,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","1","5 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"11170","Male","Married",72,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","Japan"
